URN,dbid,Categoria,Familia,Category,Nombre de tipo,Longitud,Área,Volumen,Perímetro,Nota Clave
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3690,Revit Descansillos,Descansillo monolítico,Revit Descansillos,P-Maciza Escalera e=20cn,,,,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3692,Revit Descansillos,Descansillo monolítico,Revit Descansillos,P-Maciza Escalera e=20cn,,,,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3699,Revit Suelos,Suelo,Revit Suelos,PA_Tablón de gres color mocca,,0.390037876,0.007800758,3.050233081,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3705,Revit Suelos,Suelo,Revit Suelos,PA_Tablón de gres color mocca,,0.390037876,0.007800758,3.050233081,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3711,Revit Suelos,Suelo,Revit Suelos,PA_Tablón de gres color mocca,,0.390037876,0.007800758,3.050233081,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3717,Revit Suelos,Suelo,Revit Suelos,PA_Tablón de gres color mocca,,1.470139186,0.029402784,4.850227121,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3724,Revit Suelos,Suelo,Revit Suelos,PA_Tablón de gres color mocca,,0.390177738,0.007803555,3.050466161,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3730,Revit Suelos,Suelo,Revit Suelos,PA_Tablón de gres color mocca,,1.470143877,0.029402878,4.850239657,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3737,Revit Suelos,Suelo,Revit Suelos,PA_Tablón de gres color mocca,,0.390037876,0.007800758,3.050233081,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3743,Revit Suelos,Suelo,Revit Suelos,PA_Tablón de gres color mocca,,0.390037876,0.007800758,3.050233081,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3749,Revit Suelos,Suelo,Revit Suelos,PA_Tablón de gres color mocca,,0.390037876,0.007800758,3.050233081,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3755,Revit Suelos,Suelo,Revit Suelos,PA_Tablón de gres color mocca,,1.470003946,0.029400079,4.850006576,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3762,Revit Suelos,Suelo,Revit Suelos,PA_Tablón de gres color mocca,,0.390037876,0.007800758,3.050233081,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3768,Revit Suelos,Suelo,Revit Suelos,PA_Tablón de gres color mocca,,0.390037876,0.007800758,3.050233081,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3774,Revit Suelos,Suelo,Revit Suelos,PA_Tablón de gres color mocca,,0.390037876,0.007800758,3.050233081,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4390,Revit Suelos,Suelo,Revit Suelos,PA_Tablón de gres color mocca,,0.390177738,0.007803555,3.050466161,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4406,Revit Suelos,Suelo,Revit Suelos,PA_Tablón de gres color mocca,,0.390177738,0.007803555,3.050466161,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4578,Revit Suelos,Suelo,Revit Suelos,PA_Tablón de gres color mocca,,1.440139848,0.028802797,4.800233081,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4306,Revit Suelos,Suelo,Revit Suelos,PA_Afinado,,0.360034962,0.010801049,3.000233081,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4314,Revit Suelos,Suelo,Revit Suelos,PA_Afinado,,0.360034962,0.010801049,3.000233081,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4322,Revit Suelos,Suelo,Revit Suelos,PA_Afinado,,0.360034962,0.010801049,3.000233081,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4330,Revit Suelos,Suelo,Revit Suelos,PA_Afinado,,1.440140033,0.043204201,4.800233389,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4382,Revit Suelos,Suelo,Revit Suelos,PA_Afinado,,0.360034962,0.010801049,3.000233081,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4397,Revit Suelos,Suelo,Revit Suelos,PA_Afinado,,0.360034962,0.010801049,3.000233081,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4414,Revit Suelos,Suelo,Revit Suelos,PA_Afinado,,0.360034962,0.010801049,3.000233081,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4424,Revit Suelos,Suelo,Revit Suelos,PA_Afinado,,1.440003946,0.043200118,4.800006576,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4431,Revit Suelos,Suelo,Revit Suelos,PA_Afinado,,0.360034962,0.010801049,3.000233081,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4443,Revit Suelos,Suelo,Revit Suelos,PA_Afinado,,0.360034962,0.010801049,3.000233081,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4452,Revit Suelos,Suelo,Revit Suelos,PA_Afinado,,0.360034962,0.010801049,3.000233081,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4461,Revit Suelos,Suelo,Revit Suelos,PA_Afinado,,1.44,0.0432,4.8,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4470,Revit Suelos,Suelo,Revit Suelos,PA_Afinado,,0.36,0.0108,3,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4478,Revit Suelos,Suelo,Revit Suelos,PA_Afinado,,0.36,0.0108,3,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4486,Revit Suelos,Suelo,Revit Suelos,PA_Afinado,,0.36,0.0108,3,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,4507,Revit Barandillas,Barandilla,Revit Barandillas,Pasamanos Escalera,11.31402237,,,,
